name,latitude,longitude
Askari Bank,33.52,73.09
Faisal Bank ,33.49,73.1
Meezan Bank ,33.5,73.07
Bank Al Habib Limited ,33.5,73.1
Silk Bank ,33.49,73.1
Bank Of Punjab ,33.52,73.09
Sector B Park ,33.49,73.07
Sector F Park ,33.5,73.11
Rafi Park ,33.5,73.11
Lakeview Children's Park ,33.5,73.09
Eden Park ,33.5,73.1
Overseas Park ,33.5,73.08
Al-Shifa Clinic ,33.49,73.07
Nazeer Begum Memorial Hospital,33.5,73.11
Modern Clinic Complex ,33.5,73.08
Bahria International Hospital ,33.49,73.1
B3 Healthcare Clinic ,33.5,73.1
Begum Akhtar Memorial Hospital ,33.5,72.96
Future World School and College ,33.49,73.07
Dar e Arqam School Phase 8 Campus Bahria Town ,33.5,73.1
Air foundation School System phase 8 ,33.49,73.1
Dr. Abdul-Qadeer Khan School and College,33.49,73.09
The Spirit School Bahria Town Campus ,33.5,73.1
The Smart School Bahria Town campus,33.48,73.08
